+----+-----------+-----------+
| 行 |  语义信息 |  词法信息 |
+----+-----------+-----------+
| 1  |  program  |  PROGRAM  |
| 1  |   bubble  |     ID    |
| 2  |    var    |    VAR    |
| 2  |  integer  |  INTEGER  |
| 2  |     i     |     ID    |
| 2  |     ,     |   COMMA   |
| 2  |     j     |     ID    |
| 2  |     ,     |   COMMA   |
| 2  |    num    |     ID    |
| 2  |     ;     |    SEMI   |
| 3  |   array   |   ARRAY   |
| 3  |     [     | LMIDPAREN |
| 3  |     1     |    INTC   |
| 3  |     ..    | UNDERANGE |
| 3  |     20    |    INTC   |
| 3  |     ]     | RMIDPAREN |
| 3  |     of    |     OF    |
| 3  |  integer  |  INTEGER  |
| 3  |     a     |     ID    |
| 3  |     ;     |    SEMI   |
| 4  | procedure | PROCEDURE |
| 4  |     q     |     ID    |
| 4  |     (     |   LPAREN  |
| 4  |  integer  |  INTEGER  |
| 4  |    num    |     ID    |
| 4  |     )     |   RPAREN  |
| 4  |     ;     |    SEMI   |
| 5  |    var    |    VAR    |
| 5  |  integer  |  INTEGER  |
| 5  |     i     |     ID    |
| 5  |     ,     |   COMMA   |
| 5  |     j     |     ID    |
| 5  |     ,     |   COMMA   |
| 5  |     k     |     ID    |
| 5  |     ;     |    SEMI   |
| 6  |  integer  |  INTEGER  |
| 6  |     t     |     ID    |
| 6  |     ;     |    SEMI   |
| 7  |   begin   |   BEGIN   |
| 8  |     i     |     ID    |
| 8  |     :=    |   ASSIGN  |
| 8  |     1     |    INTC   |
| 8  |     ;     |    SEMI   |
| 9  |     j     |     ID    |
| 9  |     :=    |   ASSIGN  |
| 9  |     1     |    INTC   |
| 9  |     ;     |    SEMI   |
| 10 |   while   |   WHILE   |
| 10 |     i     |     ID    |
| 10 |     <     |     LT    |
| 10 |    num    |     ID    |
| 10 |     do    |     DO    |
| 11 |     j     |     ID    |
| 11 |     :=    |   ASSIGN  |
| 11 |    num    |     ID    |
| 11 |     -     |   MINUS   |
| 11 |     i     |     ID    |
| 11 |     ;     |    SEMI   |
| 12 |     j     |     ID    |
| 12 |     :=    |   ASSIGN  |
| 12 |     j     |     ID    |
| 12 |     +     |    PLUS   |
| 12 |     1     |    INTC   |
| 12 |     ;     |    SEMI   |
| 13 |     k     |     ID    |
| 13 |     :=    |   ASSIGN  |
| 13 |     1     |    INTC   |
| 13 |     ;     |    SEMI   |
| 14 |   while   |   WHILE   |
| 14 |     k     |     ID    |
| 14 |     <     |     LT    |
| 14 |     j     |     ID    |
| 14 |     do    |     DO    |
| 15 |     if    |     IF    |
| 15 |     a     |     ID    |
| 15 |     [     | LMIDPAREN |
| 15 |     k     |     ID    |
| 15 |     +     |    PLUS   |
| 15 |     1     |    INTC   |
| 15 |     ]     | RMIDPAREN |
| 15 |     <     |     LT    |
| 15 |     a     |     ID    |
| 15 |     [     | LMIDPAREN |
| 15 |     k     |     ID    |
| 15 |     ]     | RMIDPAREN |
