+----+-----------+-----------+
| 行 |  语义信息 |  词法信息 |
+----+-----------+-----------+
| 3  |  program  |  PROGRAM  |
| 3  |   bubble  |     ID    |
| 4  |    var    |    VAR    |
| 4  |  integer  |  INTEGER  |
| 4  |     i     |     ID    |
| 4  |     ,     |   COMMA   |
| 4  |     j     |     ID    |
| 4  |     ,     |   COMMA   |
| 4  |    num    |     ID    |
| 4  |     ;     |    SEMI   |
| 5  |   array   |   ARRAY   |
| 5  |     [     | LMIDPAREN |
| 5  |     1     |    INTC   |
| 5  |     ..    | UNDERANGE |
| 5  |     20    |    INTC   |
| 5  |     ]     | RMIDPAREN |
| 5  |     of    |     OF    |
| 5  |  integer  |  INTEGER  |
| 5  |     a     |     ID    |
| 5  |     ;     |    SEMI   |
| 7  | procedure | PROCEDURE |
| 7  |     q     |     ID    |
| 7  |     (     |   LPAREN  |
| 7  |  integer  |  INTEGER  |
| 7  |    num    |     ID    |
| 7  |     )     |   RPAREN  |
| 7  |     ;     |    SEMI   |
| 8  |    var    |    VAR    |
| 8  |  integer  |  INTEGER  |
| 8  |     i     |     ID    |
| 8  |     ,     |   COMMA   |
| 8  |     j     |     ID    |
| 8  |     ,     |   COMMA   |
| 8  |     k     |     ID    |
| 8  |     ;     |    SEMI   |
| 9  |  integer  |  INTEGER  |
| 9  |     l     |     ID    |
| 9  |     ;     |    SEMI   |
| 10 |   begin   |   BEGIN   |
| 11 |     i     |     ID    |
| 11 |     :=    |   ASSIGN  |
| 11 |     1     |    INTC   |
| 11 |     ;     |    SEMI   |
| 12 |   while   |   WHILE   |
| 12 |     i     |     ID    |
| 12 |     <     |     LT    |
| 12 |    num    |     ID    |
| 12 |     do    |     DO    |
| 13 |     j     |     ID    |
| 13 |     :=    |   ASSIGN  |
| 13 |    num    |     ID    |
| 13 |     -     |   MINUS   |
| 13 |     i     |     ID    |
| 13 |     ;     |    SEMI   |
| 14 |     j     |     ID    |
| 14 |     :=    |   ASSIGN  |
| 14 |     j     |     ID    |
| 14 |     +     |    PLUS   |
| 14 |     1     |    INTC   |
| 14 |     ;     |    SEMI   |
| 15 |     k     |     ID    |
| 15 |     :=    |   ASSIGN  |
| 15 |     1     |    INTC   |
| 15 |     ;     |    SEMI   |
| 16 |   while   |   WHILE   |
| 16 |     k     |     ID    |
| 16 |     <     |     LT    |
| 16 |     j     |     ID    |
| 16 |     do    |     DO    |
| 17 |     if    |     IF    |
| 17 |     a     |     ID    |
| 17 |     [     | LMIDPAREN |
| 17 |     k     |     ID    |
| 17 |     +     |    PLUS   |
| 17 |     1     |    INTC   |
| 17 |     ]     | RMIDPAREN |
| 17 |     <     |     LT    |
| 17 |     a     |     ID    |
| 17 |     [     | LMIDPAREN |
| 17 |     k     |     ID    |
| 17 |     ]     | RMIDPAREN |
| 18 |    then   |    THEN   |
